date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:34	153073/153073	---M-Z	200	added ('OK')	text/html	etag:%22255f1-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/index.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/index.html	(from )
19:17:35	279/279	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2018:17:33%20GMT	https://mannatthemes.com/robots.txt		(from )
19:17:36	67646/67646	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221083e-6053ab3058d5e%22	https://mannatthemes.com/robotech/default/assets/images/favicon.ico	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/images/favicon.ico	(from https://mannatthemes.com/robotech/default/index.html)
19:17:36	92208/92208	---M-Z	200	added ('OK')	text/css	etag:%2216830-6053ab3081da1-gzip%22	https://mannatthemes.com/robotech/default/assets/libs/icofont/icofont.min.css	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/libs/icofont/icofont.min.css	(from https://mannatthemes.com/robotech/default/index.html)
19:17:36	16166/16166	---M-Z	200	added ('OK')	text/css	etag:%223f26-6053ab3071400-gzip%22	https://mannatthemes.com/robotech/default/assets/libs/flatpickr/flatpickr.min.css	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/libs/flatpickr/flatpickr.min.css	(from https://mannatthemes.com/robotech/default/index.html)
19:17:37	11475/11475	---M--	200	added ('OK')	image/png	etag:%222cd3-6053ab3059cfe%22	https://mannatthemes.com/robotech/default/assets/images/logo-sm.png	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/images/logo-sm.png	(from https://mannatthemes.com/robotech/default/index.html)
19:17:37	4687/4687	---M--	200	added ('OK')	image/png	etag:%22124f-6053ab3059cfe%22	https://mannatthemes.com/robotech/default/assets/images/logo.png	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/images/logo.png	(from https://mannatthemes.com/robotech/default/index.html)
19:17:37	328074/328074	---M-Z	200	added ('OK')	text/css	etag:%225018a-6053ab3055e7e-gzip%22	https://mannatthemes.com/robotech/default/assets/css/tailwind.min.css	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/assets/css/tailwind.min.css	(from https://mannatthemes.com/robotech/default/index.html)
19:17:38	295198/295198	---M-Z	200	added ('OK')	text/html	etag:%224811e-6053ab3052f9e-gzip%22	https://mannatthemes.com/robotech/default/admin-products.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-products.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:38	123141/123141	---M-Z	200	added ('OK')	text/html	etag:%221e105-6053ab3051ffe-gzip%22	https://mannatthemes.com/robotech/default/admin-add-product.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-add-product.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:38	226106/226106	---M-Z	200	added ('OK')	text/html	etag:%223733a-6053ab3052f9e-gzip%22	https://mannatthemes.com/robotech/default/admin-customers.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-customers.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:38	192710/192710	---M-Z	200	added ('OK')	text/html	etag:%222f0c6-6053ab3052f9e-gzip%22	https://mannatthemes.com/robotech/default/admin-customers-details.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-customers-details.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:39	198954/198954	---M-Z	200	added ('OK')	text/html	etag:%223092a-6053ab3052f9e-gzip%22	https://mannatthemes.com/robotech/default/admin-orders.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-orders.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:39	140988/140988	---M-Z	200	added ('OK')	text/html	etag:%22226bc-6053ab3052f9e-gzip%22	https://mannatthemes.com/robotech/default/admin-order-details.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-order-details.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:39	137218/137218	---M-Z	200	added ('OK')	text/html	etag:%2221802-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/admin-refund.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/admin-refund.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:40	85686/85686	---M-Z	200	added ('OK')	text/html	etag:%2214eb6-605b264a546e0-gzip%22	https://mannatthemes.com/robotech/default/customers-home.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-home.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:40	92952/92952	---M-Z	200	added ('OK')	text/html	etag:%2216b18-605b264a546e0-gzip%22	https://mannatthemes.com/robotech/default/customers-pro-details.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-pro-details.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:40	113476/113476	---M-Z	200	added ('OK')	text/html	etag:%221bb44-605b264a55680-gzip%22	https://mannatthemes.com/robotech/default/customers-products.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-products.html	(from https://mannatthemes.com/robotech/default/index.html)
